Domain	dynastyjusticecollective.site		
Domain	sharepoint.tool-shell.org		
Domain	tool-shell.org		
Domain	c34718cbb4c6.ngrok-free.app		
Domain	update.updatemicfosoft.com		
Domain	updatemicfosoft.com		
Domain	msupdate.updatemicfosoft.com		
File	27c45b8ed7b8a7e5fff473b50c24028bd028a9fe8e25e5cea2bf5e676e531014		
File	30955794792a7ce045660bb1e1917eef36f1d5865891b8110bf982382b305b27		
File	8d3d3f3a17d233bc8562765e61f7314ca7a08130ac0fb153ffd091612920b0f2		
File	4a02a72aedc3356d8cb38f01f0e0b9f26ddc5ccb7c0f04a561337cf24aa84030		
File	b39c14becb62aeb55df7fd55c814afbb0d659687d947d917512fe67973100b70		
File	fa3a74a6c015c801f5341c02be2cbdfb301c6ed60633d49fc0bc723617741af7		
File	92bb4ddb98eeaf11fc15bb32e71d0a63256a0ed826a03ba293ce3a8bf057a514		
File	b336f936be13b3d01a8544ea3906193608022b40c28dd8f1f281e361c9b64e93		
File	390665bdd93a656f48c463bb6c11a4d45b7d5444bdd1d1f7a5879b0f6f9aac7e		
File	66af332ce5f93ce21d2fe408dffd49d4ae31e364d6802fff97d95ed593ff3082		
File	7baf220eb89f2a216fcb2d0e9aa021b2a10324f0641caf8b7a9088e4e45bec95		
File	76746b48a78a3828b64924f4aedca2e4c49b6735		
File	f5b60a8ead96703080e73a1f79c3e70ff44df271		
File	fe3a3042890c1f11361368aeb2cc12647a6fdae1		
File	1116231836ce7c8c64dd86027b458c3bf0ef176022beadfa01ba29591990aee6		
File	02b4571470d83163d103112f07f1c434		
File	c738eb1fe0ebeffe75d22141e891e74f		
File	3461da3a2ddcced4a00f87dcd7650af48f97998a3ac9ca649d7ef3b7332bd997		
File	5a2587c2f4598c0d0a5a6ac0c50e6b97b6382fd32f78408eceda4f67c2d98042		
File	8cfb22aa48af3815b127c24ad9662d76		
File	bd3d4d19c81f11175d7f43234d3dc8d8		
File	c4cbf79c7121e72888b56a670ac297e2		
File	d0bccf604f3721ec41f1142dda23f32f		
IP	157.245.126.186		
IP	149.40.50.15		
IP	103.186.30.186		
IP	34.121.207.116		
IP	149.28.17.188		
IP	146.70.41.178		
IP	89.46.223.88		
IP	139.59.11.66		
IP	64.176.50.109		
IP	159.89.10.213		
IP	107.191.58.76		
IP	104.238.159.149		
IP	96.9.125.147		
IP	172.174.82.132		
IP	134.199.202.205		
IP	139.144.199.41		
IP	154.223.19.106		
IP	185.197.248.131		
IP	45.77.155.170		
IP	95.179.158.42		
IP	108.162.221.103		
IP	128.49.100.57		
IP	154.47.29.4		
IP	162.158.14.149		
IP	162.158.14.86		
IP	162.158.19.169		
IP	162.158.90.110		
IP	162.158.94.121		
IP	162.158.94.72		
IP	18.143.202.126		
IP	18.143.202.156		
IP	18.143.202.185		
IP	18.143.202.204		
IP	45.40.52.75		
IP	185.213.82.30		
IP	86.48.9.82		
IP	34.72.225.196		
IP	45.191.66.77		
IP	128.199.240.182		
IP	149.28.124.70		
IP	206.166.251.228		
IP	212.125.27.102		
IP	86.48.9.38		
IP	91.132.95.60		
IP	131.226.2.6		
IP	188.130.206.168		
IP	185.189.25.230		
IP	213.130.140.84		
IP	141.164.60.10		
IP	139.199.202.205		
IP	146.190.224.250		
IP	159.203.88.182		
IP	165.154.196.91		
IP	165.232.162.99		
IP	185.169.0.111		
IP	203.160.80.77		
IP	203.160.86.111		
IP	205.198.84.197		
IP	146.70.41.178:8000		
IP	65.38.121.198		
IP	103.151.172.92		
IP	109.105.193.76		
IP	124.56.42.75		
IP	162.248.74.92		
IP	173.239.247.32		
IP	2.56.190.139		
IP	38.54.106.11		
IP	83.136.182.237		
URL	http://c34718cbb4c6.ngrok-free.app/file.ps1		
URL	http://146.70.41.178:8000/_controltemplates/15/AclEditor.ascx
